1	20150513
Random Stuff	Ketsuo Tategami	http://www.tapastic.com/series/Random	N	N	N	N
Croc & Gator	Drew	http://www.tapastic.com/series/Pickle-Soup	N	N	N	N
PAUSE	KJ Tower	http://www.tapastic.com/series/PAUSE	N	N	N	N
Hey Sister!	Meromaru	http://www.tapastic.com/series/heysister	N	N	N	N
Thunderbird	linkenlog	http://www.tapastic.com/series/Thunderbird	N	N	N	N
Buffering Content	mahlana	http://www.tapastic.com/series/So-Anyways	N	N	N	N
Vampire Metal Blue	Mika Weiseth	http://www.tapastic.com/series/MetalBlue	N	N	N	N
bigfoot justice	Mike Salcedo	http://www.tapastic.com/series/bigfoot-justice	N	N	N	N
Dragnarok	magmi	http://www.tapastic.com/series/Dragnarok	N	N	N	N
Lae's life	Lae	http://www.tapastic.com/series/Lae	N	N	N	N
Not Quite There	Jax Nguyen	http://www.tapastic.com/series/Not-Quite-There	N	N	N	N
Lure	echorise	http://www.tapastic.com/series/lure	N	N	N	N
Lunar Cry	Pechan	http://www.tapastic.com/series/Lunar-Cry	N	N	N	N
Steve Lichman	Dave Rapoza	http://www.tapastic.com/series/SteveLichman	N	N	N	N
Gun Trick	TryrushStardust	http://www.tapastic.com/series/guntrick	N	N	N	N
OFR - Ice	uru-chan	http://www.tapastic.com/series/OFR---Ice	N	N	N	N
Green Smile	Chu Kwon	http://www.tapastic.com/series/greensmile	N	N	N	N
BEAR	Bianca Pinheiro	http://www.tapastic.com/series/BEAR	N	N	N	N
Morsel	mélange	http://www.tapastic.com/series/Morsel	N	N	N	N
ChronoBlade	nWayGames	http://www.tapastic.com/series/ChronoBlade	N	N	N	N
Hearts for Sale	Miyuli	http://www.tapastic.com/series/heartsforsale	N	N	N	N
Unearthed Comics	UnearthedComics	http://www.tapastic.com/series/UnearthedComics	N	N	N	N
Bedlam Genesis	Kat Thavornkant	http://www.tapastic.com/series/Bedlam-Genesis	N	N	N	N
Pages of Scribbles	Travis Orams	http://www.tapastic.com/series/pagesofscribbles	N	N	N	N
Mr.Cat	PattyWakos	http://www.tapastic.com/series/mr-cat	N	N	N	N
Starpunch Girl	TryrushStardust	http://www.tapastic.com/series/starpunchgirl	N	N	N	N
Jellyfish Adventures 	Jellyfish King 	http://www.tapastic.com/series/jellyfishadventures	N	N	N	N
Vegetables for Dessert	Monty Rohde	http://www.tapastic.com/series/vegetablesfordessert	N	N	N	N
Time Gate: Reaper	Uzuki Cheverie	http://www.tapastic.com/series/TG-Reaper	N	N	N	N
A Different Smile	ICUT	http://www.tapastic.com/series/A-Different-Smile	N	N	N	N
No End	Erli & Kromi	http://www.tapastic.com/series/No-End	N	N	N	N
Channelate	Ryan Hudson	http://www.tapastic.com/series/Channelate	N	N	N	N
The evolution of Kitty	Kitty Kitt	http://www.tapastic.com/series/The-evolution-of-Kitty	N	N	N	N
The Martyr's Rebellion 殉教者の叛逆	Ruriko-Sama	http://www.tapastic.com/series/Themartyrsrebellion	N	N	N	N
Black Sheep	Gadriann 	http://www.tapastic.com/series/Black-Sheep	N	N	N	N
The Lost City	Iris C.	http://www.tapastic.com/series/lostcity	N	N	N	N
The Devil's Bag	SODA	http://www.tapastic.com/series/The-Devils-Bag	N	N	N	N
Trace 2	Nastycat	http://www.tapastic.com/series/Trace-2	N	N	N	N
CatBox	xion Mart	http://www.tapastic.com/series/catbox	N	N	N	N
Bite Me	AffectedMind	http://www.tapastic.com/series/BiteMe	N	N	N	N
Demon Hunter Kain	Burrell Gill Jr	http://www.tapastic.com/series/DHK	N	N	N	N
Loner X Servant	Riiko	http://www.tapastic.com/series/Loner_X_Servant	N	N	N	N
(Hiatus) The Steam Dragon Express	R. Merryweather	http://www.tapastic.com/series/The-Steam-Dragon-Express	N	N	N	N
The Wormworld Saga	Daniel Lieske	http://www.tapastic.com/series/The-Wormworld-Saga	N	N	N	N
Everyday Life	Nini Wanted	http://www.tapastic.com/series/Everyday-Life	N	N	N	N
Sacred Blood	Rheliant	http://www.tapastic.com/series/Sacred-Blood	N	N	N	N
The Lonely Moon	Lira Kraunik	http://www.tapastic.com/series/thelonelymoon	N	N	N	N
Balderdash	Rashil	http://www.tapastic.com/series/Balderdash	N	N	N	N
Cheekylicious	Ricky. G	http://www.tapastic.com/series/Cheek	N	N	N	N
The Big D	The Big D	http://www.tapastic.com/series/The-Big-D	N	N	N	N
Jackie Rose	Josh Ulrich	http://www.tapastic.com/series/Jackie-Rose	N	N	N	N
Who's with me?	ICUT	http://www.tapastic.com/series/WWM	N	N	N	N
Hoppípolla	Taybee	http://www.tapastic.com/series/hoppipolla	N	N	N	N
GRRRLS - Short Stories 	025GERU	http://www.tapastic.com/series/GRRRLS	N	N	N	N
Betovering	Uty-Bacalaito	http://www.tapastic.com/series/Betovering	N	N	N	N
NeverenD	VanRah	http://www.tapastic.com/series/NeverenD	N	N	N	N
The Only Living Boy	Bottled Lightning	http://www.tapastic.com/series/The-Only-Living-Boy	N	N	N	N
Jeremiah & Wing EXTRA	nini	http://www.tapastic.com/series/Jeremiah--Wing	N	N	N	N
Sanity Within Dystopia	Ayla StarDragon	http://www.tapastic.com/series/swd	N	N	N	N
The Wastelands	Petitecreme	http://www.tapastic.com/series/wastelands	N	N	N	N
Scandinavia and the World	Mepsu Comics	http://www.tapastic.com/series/Scandinavia-and-the-World	N	N	N	N
Sunstones	Kikiine	http://www.tapastic.com/series/Sunstones	N	N	N	N
Live, laugh, love	Achiru	http://www.tapastic.com/series/Live-laugh-love	N	N	N	N
(Inactive) Readers Quest	R. Merryweather	http://www.tapastic.com/series/Readers-Quest	N	N	N	N
CTRL+Z	skatuya	http://www.tapastic.com/series/ctrlplusz	N	N	N	N
ERA: Convergence	Wave	http://www.tapastic.com/series/ERA-Convergence	N	N	N	N
3pm in the Morning	nox.fox	http://www.tapastic.com/series/3PM-in-the-Morning	N	N	N	N
My 8 Bit Story	Jose Garcia	http://www.tapastic.com/series/My-8-Bit-Story	N	N	N	N
Ophir: Reload	Msa Dagal	http://www.tapastic.com/series/ophir	N	N	N	N
Needles N Pins	Afonso Ferreira	http://www.tapastic.com/series/Needles-N-Pins	N	N	N	N
Tigress Queen	Alli	http://www.tapastic.com/series/Tigress-Queen	N	N	N	N
The Forte	chul lee	http://www.tapastic.com/series/The-forte	N	N	N	N
Coffee Shop	Karla Diaz	http://www.tapastic.com/series/Coffee-Shop	N	N	N	N
The Cat Meets Fish	Swimming	http://www.tapastic.com/series/CMF	N	N	N	N
Princess	sadmilk	http://www.tapastic.com/series/Princess	N	N	N	N
Paving streets on heaven	rainaro	http://www.tapastic.com/series/Paving-streets-on-heaven	N	N	N	N
Raven Wolf	Kura	http://www.tapastic.com/series/RavenWolf	N	N	N	N
Arbor	Miyuli	http://www.tapastic.com/series/Arbor	N	N	N	N
As Per Usual	Dami Lee	http://www.tapastic.com/series/AsPerUsual	N	N	N	N
House with 2 cats	Chun	http://www.tapastic.com/series/House-with-2-cats	N	N	N	N
Friends till Death	Milk-Assassin	http://www.tapastic.com/series/Friends-till-Death	N	N	N	N
ERA: PROELIUM	Wave	http://www.tapastic.com/series/ERA-PROELIUM	N	N	N	N
Wolf Wizard	Aimee Polanowski	http://www.tapastic.com/series/Wolf-Wizard	N	N	N	N
Spy Beat	AlisTori	http://www.tapastic.com/series/Spy-Beat	N	N	N	N
OTP Comic	Draggincat	http://www.tapastic.com/series/OTP-Comic	N	N	N	N
Honeydew Syndrome	new shoe	http://www.tapastic.com/series/Honeydew-Syndrome	N	N	N	N
Uzuki	Uzuki Cheverie	http://www.tapastic.com/series/Uzuki	N	N	N	N
Seasons	Jose Garcia	http://www.tapastic.com/series/SeasonsChances	N	N	N	N
The Little Things	deslim	http://www.tapastic.com/series/the-little-things	N	N	N	N
A BETTER PLACE	harrodeleted	http://www.tapastic.com/series/A-BETTER-PLACE	N	N	N	N
I Love You, Bambette!	Tato	http://www.tapastic.com/series/ILoveYouBambette	N	N	N	N
Simply Micho	Micho	http://www.tapastic.com/series/simplymicho	N	N	N	N
CHROMA (2015)	kingchroma	http://www.tapastic.com/series/CHROMA	N	N	N	N
Kings Folly Extras	Whispwill	http://www.tapastic.com/series/Kings-Folly-Extras	N	N	N	N
APOTHECIA	Shelby + Taz	http://www.tapastic.com/series/APOTHECIA	N	N	N	N
Echofreak	wickedalucard	http://www.tapastic.com/series/Echofreak	N	N	N	N
Crimson Game	R. Merryweather	http://www.tapastic.com/series/Crimson-Game	N	N	N	N
Tethered	Tethered Comic	http://www.tapastic.com/series/Tethered-Webcomic	N	N	N	N
Random Crappy Thoughts	melononnnnn	http://www.tapastic.com/series/Melo-sans-Random-Crappy-Thoughts	N	N	N	N
The Star Collector (a gayliens! zine)	riadoodles	http://www.tapastic.com/series/starcollector	N	N	N	N
(Inactive) Graveyard Academy	R. Merryweather	http://www.tapastic.com/series/Graveyard-Academy	N	N	N	N
Amya	Savvy	http://www.tapastic.com/series/Amya	N	N	N	N
CrossRoad	Johyoo	http://www.tapastic.com/series/CrossRoad	N	N	N	N
crescendo	JigokuNeko	http://www.tapastic.com/series/crescendo	N	N	N	N
Daniel	SarahN	http://www.tapastic.com/series/daniel	N	N	N	N
The House on the Cliff	Mar Julia	http://www.tapastic.com/series/The-House-on-the-Cliff	N	N	N	N
Bunny Life	coriyu	http://www.tapastic.com/series/Bunny-Life	N	N	N	N
Fool Me	Little-Miss-Boxie	http://www.tapastic.com/series/Fool-Me	N	N	N	N
Pop karts!	Cannonbot	http://www.tapastic.com/series/Popkarts	N	N	N	N
Just Me	yuuyah	http://www.tapastic.com/series/Just-Me	N	N	N	N
RYOTRIPS	Ryot	http://www.tapastic.com/series/RYOTRIPS	N	N	N	N
Things in Squares	Cale	http://www.tapastic.com/series/Things-in-Squares	N	N	N	N
The Art of IMPACT	Stephen McCranie	http://www.tapastic.com/series/The-Art-of-IMPACT	N	N	N	N
Frostblight Saga	Doig & Swift	http://www.tapastic.com/series/frostblight	N	N	N	N
Oh THAT's Why I'm Aro-Ace!	Puteri Hana	http://www.tapastic.com/series/OTWIAA	N	N	N	N
THERIANTHROPE	Rigrug	http://www.tapastic.com/series/THERIANTHROPE	N	N	N	N
